obj_id ra dec x y flux err snr
001 21.122110687713953 23.514693168498116 239.0 246.0 10.328063656837273 0.5792675410906548 17.82952249903631
002 21.12041411717142 23.565249900061822 281.0 337.0 8.298083663779 0.6708925656297484 12.3687220411957
003 21.1150817314443 23.535226677638935 413.0 283.0 10.653902805150238 0.8924820406485776 11.937386210492166
004 21.118999768971996 23.573581049150324 316.0 352.0 7.403807143728482 0.6819841507265968 10.856274498227485
005 21.127278835524486 23.475775249291964 111.0 176.0 11.643355128475338 1.0847641415968803 10.733536150388568
006 21.12392948901938 23.56468729273377 194.0 336.0 6.07762702592364 0.6773651719170223 8.97245278897828
007 21.119080781052517 23.558581259093977 314.0 325.0 5.818754354249764 0.6840738126941603 8.50603289626473
008 21.119283694064304 23.48024841010359 309.0 184.0 6.376770378695956 0.767777360032323 8.30549415839443
009 21.119363273335445 23.59024853601289 307.0 382.0 6.0961741808827945 0.7595155183526137 8.026398452141404
010 21.116901580921137 23.468572578967443 368.0 163.0 8.3605904759735 1.096912605817205 7.621929433243063
011 21.12437179045391 23.485240738622515 183.0 193.0 5.636252961392117 0.7765580045583493 7.257993515368647
012 21.1269196220188 23.56577840784781 120.0 338.0 6.299149786000696 0.8736359069912945 7.210268872411932
013 21.124978657185984 23.520792876127135 168.0 257.0 5.722952414992406 0.795147419150364 7.197347658007281
014 21.116496527995533 23.50801461491299 378.0 234.0 5.818753781565613 0.8157617132799593 7.132908650701396
015 21.12009118515294 23.503582996514414 289.0 226.0 4.518561044216193 0.6731180132853081 6.712880884233526
016 21.122717161619242 23.555802848163015 224.0 320.0 3.941611664966153 0.5934133579782934 6.642269864626698
017 21.121343328750346 23.531916436773827 258.0 277.0 3.633584547785097 0.5579486692424227 6.512399344403389
018 21.12659531114893 23.541892333390003 128.0 295.0 5.686001224666234 0.8836505929357464 6.4346714302263655
019 21.114675670324115 23.58022318128626 423.0 364.0 8.87566783816821 1.4120700308834877 6.28557199292374
020 21.116091786323754 23.53190088397438 388.0 277.0 4.792616990478318 0.8057239948958285 5.948211820473278
021 21.121383630604715 23.511360848035125 257.0 240.0 3.486607170483344 0.5990176986188605 5.820541160173269
022 21.120252374858225 23.594138662193608 285.0 389.0 4.811749953646464 0.8290956521337177 5.803612576260886
023 21.122959151610953 23.529691024595778 218.0 273.0 3.260176055441163 0.5827728867682304 5.594247998599394
024 21.119646360585442 23.56858240593126 300.0 343.0 3.6950871460651133 0.6828694550918962 5.411117920873841
025 21.125179377371452 23.48356943968701 163.0 190.0 4.208834459152857 0.7898993685921462 5.328317285092084
026 21.117020285943 23.553573176859878 365.0 316.0 3.917561501041336 0.7503195752319767 5.221190583799098
027 21.122474029546392 23.50080349191729 230.0 221.0 3.492204383450699 0.6708991587763736 5.205259743982973
028 21.121989524322633 23.515804500986327 242.0 248.0 2.9001102787494935 0.5727384614436988 5.12462727212617
029 21.12869070270999 23.452427380166636 76.0 134.0 11.320266865259006 2.2432476673599115 5.046374071830365
030 21.122555306127996 23.538025506287333 228.0 288.0 2.689392378047671 0.5586121562866324 4.814417924460102
031 21.128172481952586 23.57021064159575 89.0 346.0 4.832814377129823 1.0080628662944844 4.794159708406536
032 21.119768521551933 23.446360438624694 297.0 123.0 5.103453026134091 1.069320685505788 4.772612271799607
033 21.121626032601895 23.520805038634204 251.0 257.0 2.623827064367364 0.5660374473105335 4.635430176632655
034 21.12865079583639 23.460205585716984 77.0 148.0 9.461849190752577 2.056792842968086 4.600292743676856
035 21.11980812264665 23.550804878317063 296.0 311.0 3.003968696274738 0.659348832979129 4.555962710515368
036 21.122555088506843 23.521914397030038 228.0 259.0 2.6237188301971144 0.5768218950424407 4.548577043879497
037 21.120454518444674 23.567472141309135 280.0 341.0 3.0985982990693044 0.6821373976930246 4.503916870894196
038 21.120777777778002 23.52136111115901 272.0 258.0 2.59438857463121 0.5931138860599097 4.374182826616799
039 21.123765793422375 23.473576945741648 198.0 172.0 3.8302119239446135 0.8871688817280957 4.31734250696872
040 21.12663099021421 23.43578109066026 127.0 104.0 8.492885785105427 1.9753011460641448 4.299539744624658
041 21.122635985172604 23.529691962825744 226.0 273.0 2.4547534856982134 0.5700121570719116 4.29569479682016
042 21.128777184639237 23.546870650497013 74.0 304.0 4.1804184663749755 0.989177119290137 4.226157666662334
043 21.120737425234882 23.388583614121053 273.0 19.0 9.835724753305215 2.32758282943766 4.225724914666736
044 21.12704258856796 23.602443908213985 117.0 404.0 5.194182550399149 1.2294096267774803 4.224940522073267
045 21.123767004458394 23.526910245334623 198.0 268.0 2.6880534591383927 0.6405090139220007 4.196745714285507
046 21.128212010968284 23.554654689610487 88.0 318.0 3.8722133618015735 0.9389499575265491 4.123982679547739
047 21.120333311212033 23.563027631693114 283.0 333.0 2.7129030143662383 0.6622040040957815 4.102821542025665
048 21.12954132354524 23.494639315539942 55.0 210.0 6.314058877883149 1.544537190185863 4.0879940722717985
049 21.120777777778002 23.530249999999967 272.0 274.0 2.305104576330466 0.5783874334398832 3.985398788181064
050 21.113181482164393 23.56243070276893 460.0 332.0 7.355366123285739 1.85885918094375 3.9569248702052793
051 21.122191493998937 23.516915231062438 237.0 250.0 2.259461047439668 0.5753315795253717 3.942257329469236
052 21.126791569869294 23.416335360422124 123.0 69.0 9.26146223621381 2.366461186034489 3.913633695270264
053 21.118798265962287 23.537469405256036 321.0 287.0 3.03223232858561 0.7769192987872755 3.9028922737776544
054 21.120131335556696 23.551916364914998 288.0 313.0 2.4864222540464844 0.6385809243413265 3.881152201907863
